season,episode,code,index_title,title,words,url,file
2,19,0219,219 Eddie Won't Go,The One Where Eddie Won't Go,3372,https://edersoncorbari.github.io/friends-scripts/season/0219.html,transcripts/season-02/s02e19-219-eddie-won-t-go.txt
2,20,0220,220 uld Yeller Dies,The One Where Old Yeller Dies,3757,https://edersoncorbari.github.io/friends-scripts/season/0220.html,transcripts/season-02/s02e20-220-uld-yeller-dies.txt
2,21,0221,221 The Bullies,The One With the Two Bullies,3696,https://edersoncorbari.github.io/friends-scripts/season/0221.html,transcripts/season-02/s02e21-221-the-bullies.txt
2,22,0222,222 The Two Parties,The One With the Two Parties,3558,https://edersoncorbari.github.io/friends-scripts/season/0222.html,transcripts/season-02/s02e22-222-the-two-parties.txt
2,23,0223,223 The Chicken Pox,The One With the Chicken Pox,3393,https://edersoncorbari.github.io/friends-scripts/season/0223.html,transcripts/season-02/s02e23-223-the-chicken-pox.txt
2,24,0224,224 Barry And Mindy's Wedding,The One With Barry and Mindy's Wedding,3358,https://edersoncorbari.github.io/friends-scripts/season/0224.html,transcripts/season-02/s02e24-224-barry-and-mindy-s-wedding.txt
3,01,0301,301 The Princess Leia Fantasy,The One With the Princess Leia Fantasy,3217,https://edersoncorbari.github.io/friends-scripts/season/0301.html,transcripts/season-03/s03e01-301-the-princess-leia-fantasy.txt
3,02,0302,302 No One's Ready,The One Where No-one's Ready,3636,https://edersoncorbari.github.io/friends-scripts/season/0302.html,transcripts/season-03/s03e02-302-no-one-s-ready.txt
3,03,0303,303 The Jam,The One With the Jam,3355,https://edersoncorbari.github.io/friends-scripts/season/0303.html,transcripts/season-03/s03e03-303-the-jam.txt
3,04,0304,304 The Metaphorical Tunnel,The One With The Metaphorical Tunnel,3832,https://edersoncorbari.github.io/friends-scripts/season/0304.html,transcripts/season-03/s03e04-304-the-metaphorical-tunnel.txt
3,05,0305,305 Frank Jr.,The One With Frank Jr.,3359,https://edersoncorbari.github.io/friends-scripts/season/0305.html,transcripts/season-03/s03e05-305-frank-jr.txt
3,06,0306,306 The Flashback,The One With The Flashback,3231,https://edersoncorbari.github.io/friends-scripts/season/0306.html,transcripts/season-03/s03e06-306-the-flashback.txt
3,07,0307,307 The Race Car Bed,The One With the Race Car Bed,3604,https://edersoncorbari.github.io/friends-scripts/season/0307.html,transcripts/season-03/s03e07-307-the-race-car-bed.txt
3,08,0308,308 The Giant Poking Device,The One With The Giant Poking Device,3492,https://edersoncorbari.github.io/friends-scripts/season/0308.html,transcripts/season-03/s03e08-308-the-giant-poking-device.txt
3,09,0309,309 The Football,The One With The Football,4010,https://edersoncorbari.github.io/friends-scripts/season/0309.html,transcripts/season-03/s03e09-309-the-football.txt
3,10,0310,310 Rachel Quits,The One Where Rachel Quits,3714,https://edersoncorbari.github.io/friends-scripts/season/0310.html,transcripts/season-03/s03e10-310-rachel-quits.txt
3,11,0311,311 Chandler Can't Remember Which Sister,The One Where Chandler Can’t Remember Which Sister,3918,https://edersoncorbari.github.io/friends-scripts/season/0311.html,transcripts/season-03/s03e11-311-chandler-can-t-remember-which-sister.txt
