season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
3,2,0302,Bet to Be Blonde,3,1,1,3,10,Preview first — about 10+,"Affairs / cheating — Rigby: “What? No! I never cheat on a bet. Now back to what I was saying before you interrupted me, In your face! You gotta go blonde you LOSER! OHHHHHHHHHHHHHH!!!”"
3,3,0303,Skips Strikes,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,4,0304,Terror Tales of The Park,3,1,2,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,5,0305,Camping Can Be Cool,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,6,0306,Slam Dunk,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,7,0307,Cool Bikes,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,8,0308,House Rules,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,9,0309,Rap It Up,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,10,0310,Cruisin',2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
3,11,0311,Under the Hood,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
